Automation,Automation_Area,Automation.Automation_Area,Enables the Automation tab in LiveEngage,FALSE,TRUE,"Automation,ProductionReady"
Automation,Bot_Connectors,Automation.Bot_Connectors,Enables Bot Connectors access from LiveEngage,FALSE,TRUE,"Automation,BotConnectors,ProductionReady"
FaaS,FaaS,FaaS.FaaS,Function as a Service for serverless computing,FALSE,FALSE,"FaaS,ProductionReady"
Common,LiveEngage_2_Migrating,Common.LiveEngage_2_Migrating,Indicate that site is migrating to LE2.0,FALSE,FALSE,"Migrating,LiveEngage,ProductionReady"
Common,LiveEngage_2_Unified_window,Common.LiveEngage_2_Unified_window,Indicate that site support embedded window,FALSE,FALSE,"Unified_window,LiveEngage,ProductionReady"
Common,Billing_CPI2,Common.Billing_CPI2,Indicate that billing system is CPI2,FALSE,FALSE,"CPI,LiveEngage,Billing,ProductionReady"
Shark,ComparisonGroupTaglets,Shark.ComparisonGroupTaglets,Comparison group taglets,FALSE,FALSE,"Shark,ComparisonGroup,Taglets,ProductionReady"
Common,ETLHadoop,Common.ETLHadoop,ETL system will look at this feature and will upload,FALSE,FALSE,"ETL,Hadoop,ProductionReady"
,,,data to hadoop to all sites that have a value 'on' in this feature,,,
Common,LiveEngage_2,Common.LiveEngage_2,Indicate that site version is LE 2.x and later,FALSE,FALSE,"Common,LE_2,ProductionReady"
LEUI,WebAnalytics,LEUI.WebAnalytics,Control if to track web analytics data on this account.,FALSE,FALSE,"LE,LEUI,ProductionReady"
,,,Using Google Analytics,,,
LEUI,ConnectionBar_Display,LEUI.ConnectionBar_Display,Control if to display or not the connection bar to the,FALSE,FALSE,"LE,Connection,LEUI,ProductionReady"
,,,user,,,
LPInsights,MRProcessExecution,LPInsights.MRProcessExecution,Map reduce process execution,FALSE,FALSE,"LPInsights,MRProcessExecution,ProductionReady"
Reports,leMstrAccess,Reports.leMstrAccess,LiveEngage Access to MicroStrategy,FALSE,FALSE,"Reports,link,display,MicroStrategy,access,MSTR,ProductionReady"
Reports,leDashboardAccess,Reports.leDashboardAccess,LiveEngage Access to Dashboards,FALSE,FALSE,"Reports,access,dashboard,ProductionReady"
Reports,leReportBuilderAccess,Reports.leReportBuilderAccess,LiveEngage Access to Report Builder,FALSE,FALSE,"Reports,link,display,MicroStrategy,access,MSTR,ProductionReady,ReportBuilder"
Reports,leReportBuilderNonLpa,Reports.leReportBuilderNonLpa,LiveEngage Access to Report Builder from non LPA user,FALSE,FALSE,"Reports,link,display,MicroStrategy,access,MSTR,ProductionReady,ReportBuilder"
Reports,leReportBuilderOpenProfile,Reports.leReportBuilderOpenProfile,LiveEngage open profiles for Report Builder,FALSE,FALSE,"Reports,link,display,MicroStrategy,access,MSTR,ProductionReady,ReportBuilder"
Reports,LiveEngage_2_EngagementHistory,Reports.LiveEngage_2_EngagementHistory,Engagement History for LE 2,FALSE,FALSE,"EngagementHistory,ProductionReady"
VisitorFeed,Query,VisitorFeed.Query,Indicate that Couchbase query enabled,FALSE,FALSE,"VisitorFeed,Query,ProductionReady"
Analytics,LiveEngage_2_SentimentAnalysis,Analytics.LiveEngage_2_SentimentAnalysis,Sentiment analysis,FALSE,FALSE,"SentimentAnalysis,ProductionReady"
Cobrowse,Cobrowse_Integration,Cobrowse.Cobrowse_Integration,Enable CoBrowsing Integration,FALSE,FALSE,"Cobrowse,ProductionReady"
Analytics,LiveEngage_2_HotTopics,Analytics.LiveEngage_2_HotTopics,Hot Topics,FALSE,FALSE,"HotTopics,ProductionReady"
Common,LiveEngage_2_Limit_Sticky_Size,Common.LiveEngage_2_Limit_Sticky_Size,Do not allow sticky sizes above 265*265,FALSE,FALSE,"EngagementStudio,LiveEngage,ProductionReady"
Common,LiveEngage_2_Offsite_Engagement,Common.LiveEngage_2_Offsite_Engagement,Do not allow sticky sizes above 265*265,FALSE,FALSE,"EngagementStudio,LiveEngage,OffsiteEngagement,ProductionReady"
InteractionPlatform,Interaction_Platform,InteractionPlatform.Interaction_Platform,Indicate that site is using interaction platform and has,FALSE,FALSE,"InteractionPlatform,LiveEngage,ProductionReady"
,,,a taglet that redirects to the IP domain,,,
Common,Async_Messaging,Common.Async_Messaging,Common.Async_Messaging,FALSE,FALSE,"Common,LiveEngage,Async_Messaging,ProductionReady"
Common,RichContent,Common.RichContent,Allow using Async messaging Rich Content message type,FALSE,TRUE,"Common,LiveEngage,Async_Messaging,ProductionReady"
UnifiedWindow,Block_CC_Patterns,UnifiedWindow.Block_CC_Patterns,block credit cards pattern in unified window.,FALSE,FALSE,"Unified_window,LiveEngage,ProductionReady"
Common,User_Management_AC_Users,Common.User_Management_AC_Users,Indicate that site is using AC Users,FALSE,FALSE,"UserManagement,AC_Users,ProductionReady"
Common,BlockSupportAccess,Common.BlockSupportAccess,Indicate that site is paying or trial and support,FALSE,FALSE,"BlockSupportAccess,LiveEngage,ProductionReady"
,,,blocked in UI,,,
Common,BlockAddingUsers,Common.BlockAddingUsers,Indicate that site blocked to create users in UI,FALSE,FALSE,"BlockAddingUsers,LiveEngage,ProductionReady"
